key,Region of 8,Forest,Pasture,Cropland,Other Not Arable,Grassland,Shrubland,Total Land Use Change,Land Use Gains,Land Use Losses,Land Use Percent Category,Land Use Category,Land Use Change Type,Emission Type,Maximum Emission Model,Minimum Emission Model,Emission Trajectory,Maximum Range between Models,Range Category,Basin Emission,Regional Emissions,Percent Emissions,Emission Category
2087,AFR,0.14,-5.88,10.28,-0.21,-4.13,-0.19,10.42,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,Houghton,SG17,StepDown,60.03,Greater than 50 Mt,74.19,91.6,84.2,Greater than 50%
2100,AFR,0,0.04,0.87,-0.11,-0.12,-0.69,0.91,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,FAO,HWSD,Increase,0.94,Less than 1 Mt,4.47,91.6,5.2,Between 5% and 15%
2144,AFR,0,0.34,0.01,-0.26,-0.01,-0.09,0.35,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.45,Less than 1 Mt,0.12,91.6,0.1,Between -5% and  5%
2151,AFR,0,-4.17,10.31,0.01,-5.99,-0.16,10.32,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",No Change,NA,NA,Steady,1.73,1 Mt - Less than 12 Mt,0.78,91.6,0.8,Between -5% and  5%
2170,AFR,0.26,-0.63,2.08,0.01,-0.75,-0.97,2.35,1,0,Less than 2.5% Change,No Change,No Change,All Emissions,Houghton,FAO,Increase,7.49,1 Mt - Less than 12 Mt,8.86,91.6,9.6,Between 5% and 15%
2171,AFR,0.7,-3.77,6.9,0.04,-2.71,-1.16,7.63,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,Houghton,SG17,StepDown,2.05,1 Mt - Less than 12 Mt,5.29,91.6,6.3,Between 5% and 15%
2177,AFR,4.52,-6.84,3.05,0.01,-0.72,-0.04,7.58,2,1,Greater than 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Pasture Lost",All Sequestration,Houghton,SG17,StepDown,20.80,12 Mt - Less than 25 Mt,-6.62,91.6,-10.7,Between -5% and -40%
2179,AFR,0.29,-3.07,7.29,0.03,-2.88,-1.67,7.61,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,Complex,Houghton,SG17,StepDown,8.04,1 Mt - Less than 12 Mt,3.33,91.6,3,Between -5% and  5%
2183,AFR,-1.2,-9.2,23.2,0.12,-12.92,0,23.31,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,No Change,NA,NA,Steady,1.23,1 Mt - Less than 12 Mt,1.17,91.6,1.3,Between -5% and  5%
3075,AFR,0,0,0.15,0.13,-0.11,-0.16,0.27,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.05,Less than 1 Mt,-0.02,2.62,-2.2,Between -5% and  5%
3080,AFR,0.01,-2.96,3.93,-0.04,-0.32,-0.61,3.93,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,FAO,SG17,Decrease,3.37,1 Mt - Less than 12 Mt,1.98,2.62,76.1,Greater than 50%
3086,AFR,-0.05,-1.28,2.41,-0.08,-0.26,-0.75,2.41,1,1,Less than 2.5% Change,One to One,Cropland From Pasture,No Change,NA,NA,Steady,4.08,1 Mt - Less than 12 Mt,0.07,2.62,-7.1,Between -5% and -40%
3087,AFR,0,0,0.52,0.2,-0.63,-0.09,0.72,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.56,Less than 1 Mt,-0.03,2.62,0.6,Between -5% and  5%
3095,AFR,0,0,0,0,0,0,0,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,2.62,0,Between -5% and  5%
3098,AFR,0,0,-0.01,0.01,0,0,0.01,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,2.62,0,Between -5% and  5%
3100,AFR,0,0,0,0,0,0,0,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,2.62,0,Between -5% and  5%
3144,AFR,2.34E-05,-0.07,0.08,0,-0.01,0,0.08,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,Houghton,SG17,Decrease,0.77,Less than 1 Mt,0.63,2.62,32.6,Between 15% and 50%
3149,AFR,0,0,0,0,0,0,0,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.01,Less than 1 Mt,0.00,2.62,0,Between -5% and  5%
3151,AFR,0,0,0,0,0,0,0,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,2.62,0,Between -5% and  5%
4087,AFR,-2.19,-8.18,22.34,-0.08,-11.41,-0.56,22.34,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,Complex,SG20,HWSD,Complex,3.80,1 Mt - Less than 12 Mt,1.39,103.36,1.3,Between -5% and  5%
4162,AFR,-0.25,-5.46,7.73,0.05,-2.06,0,7.78,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",No Change,NA,NA,Steady,0.11,Less than 1 Mt,0.29,103.36,0.3,Between -5% and  5%
4171,AFR,-0.74,-5.24,12.34,0.02,-6.11,-0.26,12.36,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,HWSD,SG20,StepDown,25.01,25 Mt - Less than 50 Mt,26.79,103.36,25.5,Between 15% and 50%
4179,AFR,-0.47,-3.2,14.73,-0.01,-10.87,-0.18,14.73,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,HWSD,StepDown,2.27,1 Mt - Less than 12 Mt,3.46,103.36,3.3,Between -5% and  5%
4182,AFR,0.08,-5.87,8.62,0.02,-2.55,-0.3,8.72,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,Houghton,SG17,Decrease,23.26,12 Mt - Less than 25 Mt,15.51,103.36,15.6,Between 15% and 50%
4183,AFR,-0.27,-3.06,6.67,0.01,-3.3,-0.05,6.69,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,HWSD,SG20,StepDown,23.62,12 Mt - Less than 25 Mt,18.85,103.36,18.1,Between 15% and 50%
4188,AFR,0.53,-1.9,3.67,0.03,-2.34,0,4.23,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,Houghton,StepDown,14.40,12 Mt - Less than 25 Mt,19.49,103.36,18.9,Between 15% and 50%
4190,AFR,0.16,-3.87,5.43,0.05,-1.77,-0.01,5.65,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,HWSD,Houghton,StepDown,3.89,1 Mt - Less than 12 Mt,4.94,103.36,4.5,Between -5% and  5%
4194,AFR,0,0.01,0.06,0.02,0.13,-0.22,0.23,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.70,Less than 1 Mt,0.38,103.36,0.4,Between -5% and  5%
4196,AFR,0,0.14,0.01,0.01,-0.01,-0.14,0.15,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.14,Less than 1 Mt,0.33,103.36,0.3,Between -5% and  5%
4197,AFR,0.24,-2.43,3.34,0.01,-1.01,-0.13,3.58,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,HWSD,SG17,Decrease,1.33,1 Mt - Less than 12 Mt,8.99,103.36,8.9,Between 5% and 15%
4198,AFR,0.37,-3.23,3.84,0.07,-1.04,0,4.28,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,No Change,NA,NA,Steady,0.37,Less than 1 Mt,0.49,103.36,0.5,Between -5% and  5%
4199,AFR,0.01,-2.46,4.48,0.07,-2.05,-0.04,4.56,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG20,Houghton,StepDown,0.46,Less than 1 Mt,2.44,103.36,2.3,Between -5% and  5%
5086,AFR,0,0.01,0.01,0,0,-0.02,0.02,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.08,Less than 1 Mt,0.21,539.96,0,Between -5% and  5%
5087,AFR,-3.39,-2.43,8.95,0.13,-3.12,-0.13,9.08,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,SG20,HWSD,StepDown,1.23,1 Mt - Less than 12 Mt,0.86,539.96,0.2,Between -5% and  5%
5142,AFR,-3.98,-8.39,16.48,0.12,-3.88,-0.34,16.59,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,SG17,HWSD,StepDown,41.11,25 Mt - Less than 50 Mt,100.21,539.96,18.3,Between 15% and 50%
5144,AFR,0,0.06,0.02,0,-0.04,-0.03,0.08,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,HWSD,FAO,Increase,0.85,Less than 1 Mt,0.35,539.96,0.1,Between -5% and  5%
5149,AFR,-0.55,-10.79,17.7,0.03,-4.86,-1.53,17.73,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,HWSD,SG17,StepDown,25.96,25 Mt - Less than 50 Mt,87.33,539.96,16.3,Between 15% and 50%
5151,AFR,-0.01,-4.97,7.2,-0.01,-2.03,-0.18,7.2,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,Houghton,SG17,StepDown,11.79,1 Mt - Less than 12 Mt,42.70,539.96,7.9,Between 5% and 15%
5152,AFR,0,-3.8,4.27,0.04,-0.63,0.12,4.43,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,Houghton,SG17,StepDown,11.26,1 Mt - Less than 12 Mt,6.47,539.96,1.2,Between -5% and  5%
5160,AFR,-1.2,-6.57,12.95,0.1,-5.28,0,13.04,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,Houghton,HWSD,StepDown,3.12,1 Mt - Less than 12 Mt,9.12,539.96,1.7,Between -5% and  5%
5162,AFR,-2.73,-1.98,7.13,0.05,-2.43,-0.03,7.18,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,SG17,HWSD,StepDown,5.18,1 Mt - Less than 12 Mt,83.00,539.96,15.4,Between 15% and 50%
5183,AFR,-1.17,-0.59,3.67,0.02,-1.92,-0.01,3.7,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Pasture Lost",All Emissions,SG17,HWSD,StepDown,11.26,1 Mt - Less than 12 Mt,209.66,539.96,39,Between 15% and 50%
5188,AFR,-1.48,-0.2,4.65,0,-2.97,0,4.65,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",No Change,NA,NA,Steady,0.01,Less than 1 Mt,0.05,539.96,0,Between -5% and  5%
6184,XAS,0.01,-0.01,0.03,0,0.09,-0.12,0.13,0,0,Less than 2.5% Change,No Change,No Change,Complex,Houghton,SG20,Increase,4.19,1 Mt - Less than 12 Mt,-1.86,27.79,47.4,Between 15% and 50%
6189,XAS,0.53,-3.23,4.43,0.1,-1.22,-0.6,5.05,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",Complex,Houghton,SG17,Increase,19.13,12 Mt - Less than 25 Mt,-1.40,27.79,10.9,Between 5% and 15%
6191,XAS,-0.06,-5.35,6.32,0.01,-0.37,-0.56,6.33,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG20,SG17,StepDown,2.57,1 Mt - Less than 12 Mt,12.53,27.79,3.7,Between -5% and  5%
6193,XAS,0,0.16,0.15,0,-0.11,-0.2,0.31,0,0,Less than 2.5% Change,No Change,No Change,Complex,SG17,Houghton,Increase,10.05,1 Mt - Less than 12 Mt,6.98,27.79,13.5,Between 5% and 15%
6201,XAS,0.99,-2.95,1.84,0.09,0.03,0,2.95,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,Complex,SG17,HWSD,PeakSteady,4.01,1 Mt - Less than 12 Mt,1.65,27.79,6.1,Between 5% and 15%
6202,XAS,-0.02,-1.23,3.4,0,-0.7,-1.45,3.4,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Pasture and Shrubland Lost",No Change,NA,NA,Steady,1.46,1 Mt - Less than 12 Mt,-0.07,27.79,2.1,Between -5% and  5%
6208,XAS,-0.08,-3.9,6.97,0.01,-2.16,-0.83,6.98,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",Complex,Houghton,SG17,Increase,9.49,1 Mt - Less than 12 Mt,9.14,27.79,15.8,Between 15% and 50%
6211,XAS,1.03,-0.75,1.93,0.04,-2.13,-0.12,2.99,1,1,2.5% to 7.5% Change,One to One,Cropland from Grassland,All Emissions,FAO,SG17,Decrease,0.40,Less than 1 Mt,0.83,27.79,0.6,Between -5% and  5%
7156,BRA,0.1,-0.02,0,0,-0.08,0,0.1,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.02,238.18,0,Between -5% and  5%
7161,BRA,-0.23,-0.01,0.34,0,-0.09,-0.01,0.34,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG20,FAO,Decrease,0.25,Less than 1 Mt,5.79,238.18,2.6,Between -5% and  5%
7168,BRA,-0.88,-0.09,1.15,0,-0.18,0,1.15,1,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG17,SG20,Decrease,12.27,12 Mt - Less than 25 Mt,152.87,238.18,64.6,Greater than 50%
7172,BRA,-1.29,-0.32,2.82,0.04,-0.72,-0.53,2.85,1,1,2.5% to 7.5% Change,One to One,Cropland from Forest,All Emissions,FAO,SG17,Decrease,2.90,1 Mt - Less than 12 Mt,3.78,238.18,1.6,Between -5% and  5%
7174,BRA,-0.41,-0.61,2.52,0.01,-1.48,-0.03,2.53,1,1,2.5% to 7.5% Change,One to One,Cropland from Grassland,All Emissions,HWSD,FAO,Decrease,18.76,12 Mt - Less than 25 Mt,21.60,238.18,9.4,Between 5% and 15%
7186,BRA,-0.06,-0.1,2.34,0.13,-0.1,-2.21,2.47,1,1,Less than 2.5% Change,One to One,"Cropland Gained, Shrubland Lost",All Emissions,Houghton,SG17,StepDown,1.86,1 Mt - Less than 12 Mt,0.93,238.18,0.4,Between -5% and  5%
7187,BRA,-0.09,0.03,1.36,0.02,-0.71,-0.61,1.41,1,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG17,HWSD,Decrease,0.44,Less than 1 Mt,1.43,238.18,0.6,Between -5% and  5%
7192,BRA,-0.34,-0.4,2.71,0.04,-0.86,-1.15,2.75,1,1,2.5% to 7.5% Change,One to One,"Cropland Gained, Shrubland Lost",All Emissions,SG17,HWSD,StepDown,3.84,1 Mt - Less than 12 Mt,4.45,238.18,1.8,Between -5% and  5%
7195,BRA,-2.44,-2.13,6.16,0.13,-1.16,-0.57,6.3,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,SG17,HWSD,Decrease,9.78,1 Mt - Less than 12 Mt,19.62,238.18,7.7,Between 5% and 15%
7206,BRA,-1.76,-4.26,8.84,0.08,-2.89,-0.01,8.92,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,SG17,SG20,StepDown,37.16,25 Mt - Less than 50 Mt,27.70,238.18,11.3,Between 5% and 15%
8002,ROW,0.1,0,0.07,-0.24,-0.09,0.16,0.33,0,0,Less than 2.5% Change,No Change,No Change,Complex,Houghton,HWSD,Complex,71.68,Greater than 50 Mt,-8.65,46.18,-89.1,Less than -40%
8007,ROW,0.3,-0.02,0.12,-0.06,-0.38,0.04,0.46,0,0,Less than 2.5% Change,No Change,No Change,All Sequestration,SG17,SG20,Increase,8.68,1 Mt - Less than 12 Mt,-2.76,46.18,-38.1,Between -5% and -40%
8010,ROW,-0.07,-0.03,0.54,-0.04,-0.38,-0.03,0.54,0,0,Less than 2.5% Change,No Change,No Change,Complex,HWSD,SG20,Complex,26.37,25 Mt - Less than 50 Mt,3.42,46.18,-40.2,Less than -40%
8015,ROW,0.12,0,0.34,-0.05,-0.46,0.05,0.51,0,0,Less than 2.5% Change,No Change,No Change,Complex,SG17,SG20,Complex,32.61,25 Mt - Less than 50 Mt,1.75,46.18,-71.5,Less than -40%
8019,ROW,-0.94,-0.07,1.66,-0.05,-0.57,-0.04,1.66,1,0,Less than 2.5% Change,No Change,No Change,Complex,SG17,SG20,PeakSteady,12.61,12 Mt - Less than 25 Mt,1.74,46.18,-13,Between -5% and -40%
8023,ROW,-2.94,-1.35,5.15,0.01,-0.74,-0.12,5.16,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Pasture Lost",Complex,HWSD,SG20,Complex,52.09,Greater than 50 Mt,29.98,46.18,170.6,Greater than 50%
8027,ROW,-3.05,-0.06,3.4,0,-0.3,0,3.4,1,1,2.5% to 7.5% Change,One to One,Cropland from Forest,All Emissions,SG17,Houghton,Decrease,3.72,1 Mt - Less than 12 Mt,8.89,46.18,100.8,Greater than 50%
8034,ROW,0.07,-0.02,0,0.08,-0.26,0.12,0.27,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.81,Less than 1 Mt,-0.46,46.18,-5.6,Between -5% and -40%
8040,ROW,-2.01,-0.04,2.49,0.01,-0.39,-0.06,2.5,1,1,Less than 2.5% Change,One to One,Cropland from Forest,Complex,SG17,SG20,PeakSteady,8.81,1 Mt - Less than 12 Mt,1.54,46.18,-0.9,Between -5% and  5%
8223,ROW,-0.06,-5.27,4.68,3.48E-05,0.63,0.01,5.33,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,No Change,NA,NA,Steady,0.10,Less than 1 Mt,0.16,46.18,1.6,Between -5% and  5%
8227,ROW,-4.11,-0.12,4.39,0.04,-0.2,0,4.43,1,1,2.5% to 7.5% Change,One to One,Cropland from Forest,Complex,HWSD,SG17,PeakSteady,18.98,12 Mt - Less than 25 Mt,8.28,46.18,68.6,Greater than 50%
8229,ROW,-0.35,-0.02,0.61,0.02,-0.26,0,0.62,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG20,HWSD,PeakSteady,0.72,Less than 1 Mt,1.12,46.18,10.1,Between 5% and 15%
8232,ROW,-5.4,-0.09,5.92,0.01,-0.44,0,5.93,1,1,2.5% to 7.5% Change,One to One,Cropland from Forest,All Emissions,SG17,SG20,PeakSteady,2.93,1 Mt - Less than 12 Mt,1.15,46.18,6.8,Between 5% and 15%
9101,XLM,1.2,-2.57,2.52,0.07,-1.23,0,3.8,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",All Emissions,SG17,FAO,PeakSteady,3.52,1 Mt - Less than 12 Mt,2.44,23.66,10.9,Between 5% and 15%
9111,XLM,-4.09,-1.31,6.1,0.24,-0.88,-0.07,6.35,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Pasture Lost",All Emissions,SG17,Houghton,Decrease,2.43,1 Mt - Less than 12 Mt,2.95,23.66,12.2,Between 5% and 15%
9133,XLM,-3.58,-2.49,7.04,0.13,-0.96,-0.15,7.18,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Pasture Lost",All Emissions,SG17,HWSD,Decrease,0.83,Less than 1 Mt,2.45,23.66,10.2,Between 5% and 15%
9135,XLM,-1.17,-2.06,4.15,0.11,-0.91,-0.11,4.25,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Pasture Lost",All Emissions,FAO ,Houghton,Decrease,5.38,1 Mt - Less than 12 Mt,14.02,23.66,59,Greater than 50%
9143,XLM,-3.65,-0.88,6.78,0.03,-1.67,-0.61,6.81,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",All Emissions,SG17,FAO,Decrease,0.52,Less than 1 Mt,0.53,23.66,2.2,Between -5% and  5%
9157,XLM,-1.24,-1.23,3.14,0,-0.94,0.27,3.41,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Pasture Lost",All Emissions,SG17,FAO,Decrease,0.89,Less than 1 Mt,1.28,23.66,5.5,Between 5% and 15%
10018,XAS,0.01,-1.06,0.92,0,0.06,0.07,1.06,0,1,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.25,Less than 1 Mt,0.04,-12.99,-0.7,Between -5% and  5%
10038,XAS,0,-2.34,2.14,0.03,0.16,0.01,2.34,1,1,Less than 2.5% Change,One to One,Cropland From Pasture,All Emissions,Houghton,HWSD,Decrease,0.63,Less than 1 Mt,0.22,-12.99,-6.8,Between -5% and -40%
10042,XAS,0.02,-8.52,0.24,0.37,4.77,3.12,8.52,2,1,Greater than 7.5% Change,"Two Gains, One Loss","Grassland and Shrubland Gained, Pasture Lost",All Sequestration,SG17,Houghton,Increase,13.37,12 Mt - Less than 25 Mt,-2.37,-12.99,47.3,Between 15% and 50%
10043,XAS,0.37,-18.41,-0.4,0,13.65,4.79,18.81,2,1,Greater than 7.5% Change,"Two Gains, One Loss","Grassland and Shrubland Gained, Pasture Lost",All Sequestration,Houghton,HWSD,Increase,7.33,1 Mt - Less than 12 Mt,-2.96,-12.99,42.6,Between 15% and 50%
